secteurs,rich_spec,fct_div,fctdiv_cat,nb_arbre,sup_ha,arb_par_ha
SCT_001,79,6.8,Intermédiaire niv. 2,1581,40,40
SCT_002,86,7.6,Élevé,927,32,29
SCT_003,29,4.9,Faible,173,11,16
SCT_004,12,6.7,Intermédiaire niv. 2,40,20,2
SCT_005,56,7.7,Élevé,939,88,11
SCT_006,38,6.7,Intermédiaire niv. 2,221,16,14
SCT_007,35,6.8,Intermédiaire niv. 2,193,15,13
SCT_008,33,6.4,Intermédiaire niv. 2,122,11,12
SCT_009,86,5.8,Intermédiaire niv. 1,1222,42,29
SCT_010,68,6.1,Intermédiaire niv. 2,1401,79,18
SCT_012,71,5.1,Intermédiaire niv. 1,1521,48,32
SCT_013,54,3.8,Faible,1440,63,23
SCT_014,74,5.9,Intermédiaire niv. 1,2147,83,26
SCT_015,74,5.1,Intermédiaire niv. 1,1617,56,29
SCT_016,27,7,Intermédiaire niv. 2,122,6,22
SCT_017,25,6.8,Intermédiaire niv. 2,256,15,17
SCT_018,73,6.7,Intermédiaire niv. 2,1528,102,15
SCT_019,19,5.5,Intermédiaire niv. 1,67,67,1
SCT_020,41,7,Intermédiaire niv. 2,477,106,5
